Job ID : 16765
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : sam. 21 mars 2026 00:42:11 CET

=== Study 1: RBM hidden units ===
  q=50 ...   Saved outputs/alpha_study/rbm_hidden_q50.png
  q=100 ...   Saved outputs/alpha_study/rbm_hidden_q100.png
  q=200 ...   Saved outputs/alpha_study/rbm_hidden_q200.png
  q=500 ...   Saved outputs/alpha_study/rbm_hidden_q500.png
  Summary saved.

=== Study 2: RBM epochs ===
  epochs=50 ...   Saved outputs/alpha_study/rbm_epochs_50.png
  epochs=100 ...   Saved outputs/alpha_study/rbm_epochs_100.png
  epochs=200 ...   Saved outputs/alpha_study/rbm_epochs_200.png
  epochs=500 ...   Saved outputs/alpha_study/rbm_epochs_500.png
  Summary saved.

=== Study 3: RBM number of classes ===
  1 class (A) ...   Saved outputs/alpha_study/rbm_classes_1.png
  3 classes (A,B,C) ...   Saved outputs/alpha_study/rbm_classes_3.png
  6 classes (A–F) ...   Saved outputs/alpha_study/rbm_classes_6.png
  10 classes (A–J) ...   Saved outputs/alpha_study/rbm_classes_10.png
  Summary saved.

=== Study 4: DBN depth ===
  1 RBM layer ... 
--- Training RBM layer 1/1 ---
Epoch 12/100 - MSE: 0.1447
Epoch 13/100 - MSE: 0.1430
Epoch 14/100 - MSE: 0.1413
Epoch 15/100 - MSE: 0.1383
Epoch 16/100 - MSE: 0.1353
Epoch 17/100 - MSE: 0.1314
Epoch 18/100 - MSE: 0.1281
Epoch 19/100 - MSE: 0.1236
Epoch 20/100 - MSE: 0.1197
Epoch 21/100 - MSE: 0.1161
Epoch 22/100 - MSE: 0.1126
Epoch 23/100 - MSE: 0.1092
Epoch 24/100 - MSE: 0.1067
Epoch 25/100 - MSE: 0.1032
Epoch 26/100 - MSE: 0.1006
Epoch 27/100 - MSE: 0.0981
Epoch 28/100 - MSE: 0.0958
Epoch 29/100 - MSE: 0.0937
Epoch 30/100 - MSE: 0.0918
Epoch 31/100 - MSE: 0.0899
Epoch 32/100 - MSE: 0.0879
Epoch 33/100 - MSE: 0.0863
Epoch 34/100 - MSE: 0.0846
Epoch 35/100 - MSE: 0.0832
Epoch 36/100 - MSE: 0.0817
Epoch 37/100 - MSE: 0.0803
Epoch 38/100 - MSE: 0.0789
Epoch 39/100 - MSE: 0.0778
Epoch 40/100 - MSE: 0.0760
Epoch 41/100 - MSE: 0.0745
Epoch 42/100 - MSE: 0.0735
Epoch 43/100 - MSE: 0.0721
Epoch 44/100 - MSE: 0.0705
Epoch 45/100 - MSE: 0.0691
Epoch 46/100 - MSE: 0.0679
Epoch 47/100 - MSE: 0.0663
Epoch 48/100 - MSE: 0.0651
Epoch 49/100 - MSE: 0.0637
Epoch 50/100 - MSE: 0.0624
Epoch 51/100 - MSE: 0.0613
Epoch 52/100 - MSE: 0.0603
Epoch 53/100 - MSE: 0.0590
Epoch 54/100 - MSE: 0.0578
Epoch 55/100 - MSE: 0.0568
Epoch 56/100 - MSE: 0.0556
Epoch 57/100 - MSE: 0.0544
Epoch 58/100 - MSE: 0.0534
Epoch 59/100 - MSE: 0.0528
Epoch 60/100 - MSE: 0.0518
Epoch 61/100 - MSE: 0.0510
Epoch 62/100 - MSE: 0.0497
Epoch 63/100 - MSE: 0.0492
Epoch 64/100 - MSE: 0.0480
Epoch 65/100 - MSE: 0.0470
Epoch 66/100 - MSE: 0.0462
Epoch 67/100 - MSE: 0.0455
Epoch 68/100 - MSE: 0.0446
Epoch 69/100 - MSE: 0.0439
Epoch 70/100 - MSE: 0.0430
Epoch 71/100 - MSE: 0.0423
Epoch 72/100 - MSE: 0.0414
Epoch 73/100 - MSE: 0.0406
Epoch 74/100 - MSE: 0.0400
Epoch 75/100 - MSE: 0.0393
Epoch 76/100 - MSE: 0.0385
Epoch 77/100 - MSE: 0.0377
Epoch 78/100 - MSE: 0.0373
Epoch 79/100 - MSE: 0.0367
Epoch 80/100 - MSE: 0.0361
Epoch 81/100 - MSE: 0.0353
Epoch 82/100 - MSE: 0.0348
Epoch 83/100 - MSE: 0.0341
Epoch 84/100 - MSE: 0.0338
Epoch 85/100 - MSE: 0.0333
Epoch 86/100 - MSE: 0.0327
Epoch 87/100 - MSE: 0.0321
Epoch 88/100 - MSE: 0.0315
Epoch 89/100 - MSE: 0.0310
Epoch 90/100 - MSE: 0.0306
Epoch 91/100 - MSE: 0.0301
Epoch 92/100 - MSE: 0.0297
Epoch 93/100 - MSE: 0.0294
Epoch 94/100 - MSE: 0.0289
Epoch 95/100 - MSE: 0.0285
Epoch 96/100 - MSE: 0.0281
Epoch 97/100 - MSE: 0.0275
Epoch 98/100 - MSE: 0.0271
Epoch 99/100 - MSE: 0.0267
Epoch 100/100 - MSE: 0.0264
  Saved outputs/alpha_study/dbn_depth_2.png
  3 RBM layers ... 
--- Training RBM layer 1/3 ---
Epoch 1/100 - MSE: 0.2307
Epoch 2/100 - MSE: 0.2298
Epoch 3/100 - MSE: 0.2289
Epoch 4/100 - MSE: 0.2279
Epoch 5/100 - MSE: 0.2275
Epoch 6/100 - MSE: 0.2260
Epoch 7/100 - MSE: 0.2249
Epoch 8/100 - MSE: 0.2233
Epoch 9/100 - MSE: 0.2214
Epoch 10/100 - MSE: 0.2187
Epoch 11/100 - MSE: 0.2158
Epoch 12/100 - MSE: 0.2117
Epoch 13/100 - MSE: 0.2073
Epoch 14/100 - MSE: 0.2036
Epoch 15/100 - MSE: 0.1997
Epoch 16/100 - MSE: 0.1964
Epoch 17/100 - MSE: 0.1929
Epoch 18/100 - MSE: 0.1897
Epoch 19/100 - MSE: 0.1866
Epoch 20/100 - MSE: 0.1832
Epoch 21/100 - MSE: 0.1800
Epoch 22/100 - MSE: 0.1771
Epoch 23/100 - MSE: 0.1747
Epoch 24/100 - MSE: 0.1717
Epoch 25/100 - MSE: 0.1696
Epoch 26/100 - MSE: 0.1673
Epoch 27/100 - MSE: 0.1650
Epoch 28/100 - MSE: 0.1630
Epoch 29/100 - MSE: 0.1607
Epoch 30/100 - MSE: 0.1587
Epoch 31/100 - MSE: 0.1566
Epoch 32/100 - MSE: 0.1541
Epoch 33/100 - MSE: 0.1520
Epoch 34/100 - MSE: 0.1498
Epoch 35/100 - MSE: 0.1478
Epoch 36/100 - MSE: 0.1456
Epoch 37/100 - MSE: 0.1438
Epoch 38/100 - MSE: 0.1418
Epoch 39/100 - MSE: 0.1396
Epoch 40/100 - MSE: 0.1377
Epoch 41/100 - MSE: 0.1358
Epoch 42/100 - MSE: 0.1341
Epoch 43/100 - MSE: 0.1321
Epoch 44/100 - MSE: 0.1303
Epoch 45/100 - MSE: 0.1288
Epoch 46/100 - MSE: 0.1270
Epoch 47/100 - MSE: 0.1252
Epoch 48/100 - MSE: 0.1236
Epoch 49/100 - MSE: 0.1220
Epoch 50/100 - MSE: 0.1201
Epoch 51/100 - MSE: 0.1186
Epoch 52/100 - MSE: 0.1170
Epoch 53/100 - MSE: 0.1155
Epoch 54/100 - MSE: 0.1139
Epoch 55/100 - MSE: 0.1126
Epoch 56/100 - MSE: 0.1113
Epoch 57/100 - MSE: 0.1098
Epoch 58/100 - MSE: 0.1086
Epoch 59/100 - MSE: 0.1070
Epoch 60/100 - MSE: 0.1058
Epoch 61/100 - MSE: 0.1043
Epoch 62/100 - MSE: 0.1029
Epoch 63/100 - MSE: 0.1021
Epoch 64/100 - MSE: 0.1008
Epoch 65/100 - MSE: 0.0994
Epoch 66/100 - MSE: 0.0983
Epoch 67/100 - MSE: 0.0974
Epoch 68/100 - MSE: 0.0960
Epoch 69/100 - MSE: 0.0954
Epoch 70/100 - MSE: 0.0941
Epoch 71/100 - MSE: 0.0929
Epoch 72/100 - MSE: 0.0918
Epoch 73/100 - MSE: 0.0908
Epoch 74/100 - MSE: 0.0898
Epoch 75/100 - MSE: 0.0886
Epoch 76/100 - MSE: 0.0877
Epoch 77/100 - MSE: 0.0867
Epoch 78/100 - MSE: 0.0857
Epoch 79/100 - MSE: 0.0848
Epoch 80/100 - MSE: 0.0839
Epoch 81/100 - MSE: 0.0830
Epoch 82/100 - MSE: 0.0821
Epoch 83/100 - MSE: 0.0813
Epoch 84/100 - MSE: 0.0805
Epoch 85/100 - MSE: 0.0797
Epoch 86/100 - MSE: 0.0787
Epoch 87/100 - MSE: 0.0778
Epoch 88/100 - MSE: 0.0770
Epoch 89/100 - MSE: 0.0763
Epoch 90/100 - MSE: 0.0756
Epoch 91/100 - MSE: 0.0748
Epoch 92/100 - MSE: 0.0740
Epoch 93/100 - MSE: 0.0733
Epoch 94/100 - MSE: 0.0724
Epoch 95/100 - MSE: 0.0715
Epoch 96/100 - MSE: 0.0707
Epoch 97/100 - MSE: 0.0702
Epoch 98/100 - MSE: 0.0696
Epoch 99/100 - MSE: 0.0688
Epoch 100/100 - MSE: 0.0680

--- Training RBM layer 2/3 ---
Epoch 1/100 - MSE: 0.1493
Epoch 2/100 - MSE: 0.1487
Epoch 3/100 - MSE: 0.1477
Epoch 4/100 - MSE: 0.1475
Epoch 5/100 - MSE: 0.1471
Epoch 6/100 - MSE: 0.1468
Epoch 7/100 - MSE: 0.1467
Epoch 8/100 - MSE: 0.1463
Epoch 9/100 - MSE: 0.1456
Epoch 10/100 - MSE: 0.1451
Epoch 11/100 - MSE: 0.1444
Epoch 12/100 - MSE: 0.1431
Epoch 13/100 - MSE: 0.1420
Epoch 14/100 - MSE: 0.1406
Epoch 15/100 - MSE: 0.1383
Epoch 16/100 - MSE: 0.1361
Epoch 17/100 - MSE: 0.1325
Epoch 18/100 - MSE: 0.1288
Epoch 19/100 - MSE: 0.1248
Epoch 20/100 - MSE: 0.1206
Epoch 21/100 - MSE: 0.1167
Epoch 22/100 - MSE: 0.1135
Epoch 23/100 - MSE: 0.1104
Epoch 24/100 - MSE: 0.1069
Epoch 25/100 - MSE: 0.1037
Epoch 26/100 - MSE: 0.1005
Epoch 27/100 - MSE: 0.0982
Epoch 28/100 - MSE: 0.0951
Epoch 29/100 - MSE: 0.0930
Epoch 30/100 - MSE: 0.0907
Epoch 31/100 - MSE: 0.0887
Epoch 32/100 - MSE: 0.0868
Epoch 33/100 - MSE: 0.0850
Epoch 34/100 - MSE: 0.0832
Epoch 35/100 - MSE: 0.0821
Epoch 36/100 - MSE: 0.0807
Epoch 37/100 - MSE: 0.0795
Epoch 38/100 - MSE: 0.0781
Epoch 39/100 - MSE: 0.0769
Epoch 40/100 - MSE: 0.0755
Epoch 41/100 - MSE: 0.0743
Epoch 42/100 - MSE: 0.0731
Epoch 43/100 - MSE: 0.0721
Epoch 44/100 - MSE: 0.0703
Epoch 45/100 - MSE: 0.0690
Epoch 46/100 - MSE: 0.0679
Epoch 47/100 - MSE: 0.0664
Epoch 48/100 - MSE: 0.0653
Epoch 49/100 - MSE: 0.0643
Epoch 50/100 - MSE: 0.0629
Epoch 51/100 - MSE: 0.0616
Epoch 52/100 - MSE: 0.0602
Epoch 53/100 - MSE: 0.0591
Epoch 54/100 - MSE: 0.0579
Epoch 55/100 - MSE: 0.0568
Epoch 56/100 - MSE: 0.0558
Epoch 57/100 - MSE: 0.0550
Epoch 58/100 - MSE: 0.0539
Epoch 59/100 - MSE: 0.0530
Epoch 60/100 - MSE: 0.0522
Epoch 61/100 - MSE: 0.0509
Epoch 62/100 - MSE: 0.0502
Epoch 63/100 - MSE: 0.0494
Epoch 64/100 - MSE: 0.0484
Epoch 65/100 - MSE: 0.0475
Epoch 66/100 - MSE: 0.0464
Epoch 67/100 - MSE: 0.0456
Epoch 68/100 - MSE: 0.0449
Epoch 69/100 - MSE: 0.0442
Epoch 70/100 - MSE: 0.0434
Epoch 71/100 - MSE: 0.0423
Epoch 72/100 - MSE: 0.0417
Epoch 73/100 - MSE: 0.0409
Epoch 74/100 - MSE: 0.0401
Epoch 75/100 - MSE: 0.0397
Epoch 76/100 - MSE: 0.0387
Epoch 77/100 - MSE: 0.0381
Epoch 78/100 - MSE: 0.0376
Epoch 79/100 - MSE: 0.0368
Epoch 80/100 - MSE: 0.0361
Epoch 81/100 - MSE: 0.0355
Epoch 82/100 - MSE: 0.0350
Epoch 83/100 - MSE: 0.0342
Epoch 84/100 - MSE: 0.0336
Epoch 85/100 - MSE: 0.0330
Epoch 86/100 - MSE: 0.0323
Epoch 87/100 - MSE: 0.0319
Epoch 88/100 - MSE: 0.0314
Epoch 89/100 - MSE: 0.0309
Epoch 90/100 - MSE: 0.0303
Epoch 91/100 - MSE: 0.0299
Epoch 92/100 - MSE: 0.0295
Epoch 93/100 - MSE: 0.0289
Epoch 94/100 - MSE: 0.0285
Epoch 95/100 - MSE: 0.0281
Epoch 96/100 - MSE: 0.0279
Epoch 97/100 - MSE: 0.0271
Epoch 98/100 - MSE: 0.0266
Epoch 99/100 - MSE: 0.0263
Epoch 100/100 - MSE: 0.0259

--- Training RBM layer 3/3 ---
Epoch 1/100 - MSE: 0.1134
Epoch 2/100 - MSE: 0.1121
Epoch 3/100 - MSE: 0.1121
Epoch 4/100 - MSE: 0.1118
Epoch 5/100 - MSE: 0.1114
Epoch 6/100 - MSE: 0.1111
Epoch 7/100 - MSE: 0.1110
Epoch 8/100 - MSE: 0.1102
Epoch 9/100 - MSE: 0.1090
Epoch 10/100 - MSE: 0.1084
Epoch 11/100 - MSE: 0.1068
Epoch 12/100 - MSE: 0.1043
Epoch 13/100 - MSE: 0.1013
Epoch 14/100 - MSE: 0.0975
Epoch 15/100 - MSE: 0.0930
Epoch 16/100 - MSE: 0.0888
Epoch 17/100 - MSE: 0.0845
Epoch 18/100 - MSE: 0.0803
Epoch 19/100 - MSE: 0.0777
Epoch 20/100 - MSE: 0.0742
Epoch 21/100 - MSE: 0.0709
Epoch 22/100 - MSE: 0.0676
Epoch 23/100 - MSE: 0.0648
Epoch 24/100 - MSE: 0.0625
Epoch 25/100 - MSE: 0.0603
Epoch 26/100 - MSE: 0.0574
Epoch 27/100 - MSE: 0.0552
Epoch 28/100 - MSE: 0.0534
Epoch 29/100 - MSE: 0.0517
Epoch 30/100 - MSE: 0.0502
Epoch 31/100 - MSE: 0.0484
Epoch 32/100 - MSE: 0.0467
Epoch 33/100 - MSE: 0.0459
Epoch 34/100 - MSE: 0.0446
Epoch 35/100 - MSE: 0.0436
Epoch 36/100 - MSE: 0.0424
Epoch 37/100 - MSE: 0.0415
Epoch 38/100 - MSE: 0.0404
Epoch 39/100 - MSE: 0.0392
Epoch 40/100 - MSE: 0.0385
Epoch 41/100 - MSE: 0.0373
Epoch 42/100 - MSE: 0.0359
Epoch 43/100 - MSE: 0.0354
Epoch 44/100 - MSE: 0.0345
Epoch 45/100 - MSE: 0.0331
Epoch 46/100 - MSE: 0.0321
Epoch 47/100 - MSE: 0.0310
Epoch 48/100 - MSE: 0.0300
Epoch 49/100 - MSE: 0.0290
Epoch 50/100 - MSE: 0.0282
Epoch 51/100 - MSE: 0.0274
Epoch 52/100 - MSE: 0.0266
Epoch 53/100 - MSE: 0.0263
Epoch 54/100 - MSE: 0.0256
Epoch 55/100 - MSE: 0.0244
Epoch 56/100 - MSE: 0.0242
Epoch 57/100 - MSE: 0.0237
Epoch 58/100 - MSE: 0.0230
Epoch 59/100 - MSE: 0.0227
Epoch 60/100 - MSE: 0.0224
Epoch 61/100 - MSE: 0.0217
Epoch 62/100 - MSE: 0.0211
Epoch 63/100 - MSE: 0.0208
Epoch 64/100 - MSE: 0.0205
Epoch 65/100 - MSE: 0.0201
Epoch 66/100 - MSE: 0.0197
Epoch 67/100 - MSE: 0.0193
Epoch 68/100 - MSE: 0.0189
Epoch 69/100 - MSE: 0.0183
Epoch 70/100 - MSE: 0.0181
Epoch 71/100 - MSE: 0.0178
