Job ID : 16760
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : ven. 20 mars 2026 23:57:02 CET
PyTorch version: 2.9.1+cu128
CUDA available : True
CUDA device    : NVIDIA L40S
Using device: cuda
Train: torch.Size([60000, 784]), Test: torch.Size([10000, 784])

=== Fig 1: layers ===

Architecture: [784, 200, 200, 10]

[Pretraining DNN1]

--- Training RBM layer 1/2 ---
Epoch 168/200 - Cross-entropy: 0.0271
Epoch 169/200 - Cross-entropy: 0.0270
Epoch 170/200 - Cross-entropy: 0.0266
Epoch 171/200 - Cross-entropy: 0.0266
Epoch 172/200 - Cross-entropy: 0.0262
Epoch 173/200 - Cross-entropy: 0.0260
Epoch 174/200 - Cross-entropy: 0.0259
Epoch 175/200 - Cross-entropy: 0.0256
Epoch 176/200 - Cross-entropy: 0.0254
Epoch 177/200 - Cross-entropy: 0.0252
Epoch 178/200 - Cross-entropy: 0.0250
Epoch 179/200 - Cross-entropy: 0.0249
Epoch 180/200 - Cross-entropy: 0.0246
Epoch 181/200 - Cross-entropy: 0.0244
Epoch 182/200 - Cross-entropy: 0.0242
Epoch 183/200 - Cross-entropy: 0.0240
Epoch 184/200 - Cross-entropy: 0.0238
Epoch 185/200 - Cross-entropy: 0.0237
Epoch 186/200 - Cross-entropy: 0.0234
Epoch 187/200 - Cross-entropy: 0.0233
Epoch 188/200 - Cross-entropy: 0.0231
Epoch 189/200 - Cross-entropy: 0.0229
Epoch 190/200 - Cross-entropy: 0.0228
Epoch 191/200 - Cross-entropy: 0.0226
Epoch 192/200 - Cross-entropy: 0.0224
Epoch 193/200 - Cross-entropy: 0.0222
Epoch 194/200 - Cross-entropy: 0.0220
Epoch 195/200 - Cross-entropy: 0.0219
Epoch 196/200 - Cross-entropy: 0.0217
Epoch 197/200 - Cross-entropy: 0.0216
Epoch 198/200 - Cross-entropy: 0.0214
Epoch 199/200 - Cross-entropy: 0.0212
Epoch 200/200 - Cross-entropy: 0.0210

[Training DNN2 (random init) with backprop]
Epoch 1/200 - Cross-entropy: 2.3120
Epoch 2/200 - Cross-entropy: 2.3067
Epoch 3/200 - Cross-entropy: 2.3047
Epoch 4/200 - Cross-entropy: 2.2967
Epoch 5/200 - Cross-entropy: 1.8868
Epoch 6/200 - Cross-entropy: 1.2615
Epoch 7/200 - Cross-entropy: 0.9086
Epoch 8/200 - Cross-entropy: 0.7572
Epoch 9/200 - Cross-entropy: 0.6833
Epoch 10/200 - Cross-entropy: 0.6021
Epoch 11/200 - Cross-entropy: 0.5465
Epoch 12/200 - Cross-entropy: 0.5071
Epoch 13/200 - Cross-entropy: 0.4672
Epoch 14/200 - Cross-entropy: 0.4375
Epoch 15/200 - Cross-entropy: 0.4074
Epoch 16/200 - Cross-entropy: 0.3736
Epoch 17/200 - Cross-entropy: 0.3519
Epoch 18/200 - Cross-entropy: 0.3317
Epoch 19/200 - Cross-entropy: 0.3153
Epoch 20/200 - Cross-entropy: 0.2974
Epoch 21/200 - Cross-entropy: 0.2854
Epoch 22/200 - Cross-entropy: 0.2705
Epoch 23/200 - Cross-entropy: 0.2631
Epoch 24/200 - Cross-entropy: 0.2496
Epoch 25/200 - Cross-entropy: 0.2388
Epoch 26/200 - Cross-entropy: 0.2344
Epoch 27/200 - Cross-entropy: 0.2207
Epoch 28/200 - Cross-entropy: 0.2125
Epoch 29/200 - Cross-entropy: 0.2046
Epoch 30/200 - Cross-entropy: 0.1962
Epoch 31/200 - Cross-entropy: 0.1885
Epoch 32/200 - Cross-entropy: 0.1805
Epoch 33/200 - Cross-entropy: 0.1752
Epoch 34/200 - Cross-entropy: 0.1697
Epoch 35/200 - Cross-entropy: 0.1625
Epoch 36/200 - Cross-entropy: 0.1596
Epoch 37/200 - Cross-entropy: 0.1550
Epoch 38/200 - Cross-entropy: 0.1485
Epoch 39/200 - Cross-entropy: 0.1464
Epoch 40/200 - Cross-entropy: 0.1399
Epoch 41/200 - Cross-entropy: 0.1360
Epoch 42/200 - Cross-entropy: 0.1339
Epoch 43/200 - Cross-entropy: 0.1289
Epoch 44/200 - Cross-entropy: 0.1241
Epoch 45/200 - Cross-entropy: 0.1219
Epoch 46/200 - Cross-entropy: 0.1196
Epoch 47/200 - Cross-entropy: 0.1172
Epoch 48/200 - Cross-entropy: 0.1121
Epoch 49/200 - Cross-entropy: 0.1160
Epoch 50/200 - Cross-entropy: 0.1075
Epoch 51/200 - Cross-entropy: 0.1042
Epoch 52/200 - Cross-entropy: 0.1031
Epoch 53/200 - Cross-entropy: 0.0994
Epoch 54/200 - Cross-entropy: 0.0974
Epoch 55/200 - Cross-entropy: 0.0987
Epoch 56/200 - Cross-entropy: 0.0921
Epoch 57/200 - Cross-entropy: 0.0917
Epoch 58/200 - Cross-entropy: 0.0902
Epoch 59/200 - Cross-entropy: 0.0874
Epoch 60/200 - Cross-entropy: 0.0846
Epoch 61/200 - Cross-entropy: 0.0822
Epoch 62/200 - Cross-entropy: 0.0804
Epoch 63/200 - Cross-entropy: 0.0786
Epoch 64/200 - Cross-entropy: 0.0794
Epoch 65/200 - Cross-entropy: 0.0757
Epoch 66/200 - Cross-entropy: 0.0745
Epoch 67/200 - Cross-entropy: 0.0733
Epoch 68/200 - Cross-entropy: 0.0713
Epoch 69/200 - Cross-entropy: 0.0688
Epoch 70/200 - Cross-entropy: 0.0685
Epoch 71/200 - Cross-entropy: 0.0672
Epoch 72/200 - Cross-entropy: 0.0652
