Job ID : 16766
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : sam. 21 mars 2026 00:42:23 CET
Device: cuda
Loading MNIST...
  RBM/DBN training set: torch.Size([10000, 784])
  VAE training set:     torch.Size([60000, 784])

=== Training RBM ===
Epoch 95/100 - MSE: 0.0236
Epoch 96/100 - MSE: 0.0235
Epoch 97/100 - MSE: 0.0234
Epoch 98/100 - MSE: 0.0234
Epoch 99/100 - MSE: 0.0234
Epoch 100/100 - MSE: 0.0233

=== Training VAE ===
  VAE parameters: 583,568
  Epoch 1/30 - ELBO loss: 190.08
  Epoch 2/30 - ELBO loss: 135.20
  Epoch 3/30 - ELBO loss: 115.81
  Epoch 4/30 - ELBO loss: 106.15
  Epoch 5/30 - ELBO loss: 100.64
  Epoch 6/30 - ELBO loss: 97.32
  Epoch 7/30 - ELBO loss: 95.05
  Epoch 8/30 - ELBO loss: 93.23
  Epoch 9/30 - ELBO loss: 91.75
  Epoch 10/30 - ELBO loss: 90.43
  Epoch 11/30 - ELBO loss: 89.36
  Epoch 12/30 - ELBO loss: 88.38
  Epoch 13/30 - ELBO loss: 87.57
  Epoch 14/30 - ELBO loss: 86.90
  Epoch 15/30 - ELBO loss: 86.31
  Epoch 16/30 - ELBO loss: 85.73
  Epoch 17/30 - ELBO loss: 85.14
  Epoch 18/30 - ELBO loss: 84.69
  Epoch 19/30 - ELBO loss: 84.18
  Epoch 20/30 - ELBO loss: 83.88
  Epoch 21/30 - ELBO loss: 83.50
  Epoch 22/30 - ELBO loss: 83.21
  Epoch 23/30 - ELBO loss: 82.98
  Epoch 24/30 - ELBO loss: 82.69
  Epoch 25/30 - ELBO loss: 82.45
  Epoch 26/30 - ELBO loss: 82.28
  Epoch 27/30 - ELBO loss: 82.06
  Epoch 28/30 - ELBO loss: 81.85
  Epoch 29/30 - ELBO loss: 81.64
  Epoch 30/30 - ELBO loss: 81.46

Comparison figure saved: outputs/bonus/comparison_rbm_dbn_vae.png
  Saved outputs/bonus/rbm_mnist.png
  Saved outputs/bonus/dbn_mnist.png
  Saved outputs/bonus/vae_mnist.png
  Saved outputs/bonus/vae_mnist_binary.png

Generating VAE latent interpolation...
  Saved outputs/bonus/vae_interpolation.png

All bonus outputs saved to: outputs/bonus/
Files:
  comparison_rbm_dbn_vae.png
  dbn_mnist.png
  rbm_mnist.png
  vae_interpolation.png
  vae_mnist.png
  vae_mnist_binary.png
  vae_training_loss.png
Done: sam. 21 mars 2026 00:42:56 CET
