Job ID : 16768
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : sam. 21 mars 2026 01:26:16 CET
PyTorch version: 2.9.1+cu128
CUDA available : True
CUDA device    : NVIDIA L40S
Using device: cuda
Train: torch.Size([60000, 784]), Test: torch.Size([10000, 784])

=== Fig 1: layers ===

Architecture: [784, 200, 200, 10]

[Pretraining DNN1]

--- Training RBM layer 1/2 ---
Epoch 118/200 - Cross-entropy: 0.0225
Epoch 119/200 - Cross-entropy: 0.0222
Epoch 120/200 - Cross-entropy: 0.0223
Epoch 121/200 - Cross-entropy: 0.0214
Epoch 122/200 - Cross-entropy: 0.0214
Epoch 123/200 - Cross-entropy: 0.0200
Epoch 124/200 - Cross-entropy: 0.0200
Epoch 125/200 - Cross-entropy: 0.0196
Epoch 126/200 - Cross-entropy: 0.0189
Epoch 127/200 - Cross-entropy: 0.0191
Epoch 128/200 - Cross-entropy: 0.0182
Epoch 129/200 - Cross-entropy: 0.0178
Epoch 130/200 - Cross-entropy: 0.0174
Epoch 131/200 - Cross-entropy: 0.0171
Epoch 132/200 - Cross-entropy: 0.0166
Epoch 133/200 - Cross-entropy: 0.0166
Epoch 134/200 - Cross-entropy: 0.0162
Epoch 135/200 - Cross-entropy: 0.0162
Epoch 136/200 - Cross-entropy: 0.0154
Epoch 137/200 - Cross-entropy: 0.0153
Epoch 138/200 - Cross-entropy: 0.0148
Epoch 139/200 - Cross-entropy: 0.0145
Epoch 140/200 - Cross-entropy: 0.0150
Epoch 141/200 - Cross-entropy: 0.0147
Epoch 142/200 - Cross-entropy: 0.0141
Epoch 143/200 - Cross-entropy: 0.0139
Epoch 144/200 - Cross-entropy: 0.0132
Epoch 145/200 - Cross-entropy: 0.0129
Epoch 146/200 - Cross-entropy: 0.0128
Epoch 147/200 - Cross-entropy: 0.0132
Epoch 148/200 - Cross-entropy: 0.0124
Epoch 149/200 - Cross-entropy: 0.0120
Epoch 150/200 - Cross-entropy: 0.0119
Epoch 151/200 - Cross-entropy: 0.0116
Epoch 152/200 - Cross-entropy: 0.0114
Epoch 153/200 - Cross-entropy: 0.0112
Epoch 154/200 - Cross-entropy: 0.0110
Epoch 155/200 - Cross-entropy: 0.0108
Epoch 156/200 - Cross-entropy: 0.0105
Epoch 157/200 - Cross-entropy: 0.0104
Epoch 158/200 - Cross-entropy: 0.0104
Epoch 159/200 - Cross-entropy: 0.0101
Epoch 160/200 - Cross-entropy: 0.0099
Epoch 161/200 - Cross-entropy: 0.0098
Epoch 162/200 - Cross-entropy: 0.0096
Epoch 163/200 - Cross-entropy: 0.0095
Epoch 164/200 - Cross-entropy: 0.0093
Epoch 165/200 - Cross-entropy: 0.0092
Epoch 166/200 - Cross-entropy: 0.0093
Epoch 167/200 - Cross-entropy: 0.0089
Epoch 168/200 - Cross-entropy: 0.0086
Epoch 169/200 - Cross-entropy: 0.0085
Epoch 170/200 - Cross-entropy: 0.0083
Epoch 171/200 - Cross-entropy: 0.0084
Epoch 172/200 - Cross-entropy: 0.0082
Epoch 173/200 - Cross-entropy: 0.0080
Epoch 174/200 - Cross-entropy: 0.0078
Epoch 175/200 - Cross-entropy: 0.0077
Epoch 176/200 - Cross-entropy: 0.0076
Epoch 177/200 - Cross-entropy: 0.0074
Epoch 178/200 - Cross-entropy: 0.0073
Epoch 179/200 - Cross-entropy: 0.0076
